Place	Time		Bib Number

1.	19:50		76
2.	20:30		48
3.	22:18		64
4.	22:30		52
5.	23:15		42
6.	23:28		41
7.	25:04		51
8.	25:06		38
9.	25:07		61
10.	25:33		46
11.	25:33		56
12.	25:39		55
13.	25:39		47
14.	25:46		77
15.	25:47		98
16.	25:47		62
17.	25:57		65
18.	25:58		66
19.	27:17		40
20.	27:27		67
21.	27:29		73
22.	27:30		72
23.	28:10		75
24.	28:11		74
25.	29:01		53
26.	29:13		54
27.	29:16		69
28.	29:17		71
29.	29:18		70
30.	29:29		58
31.	29:32		79
32.	31:43		44
33.	31:44		43
34.	31:46		63
35.	31:54		39
36.	31:55		59
37.	31:56		60
38.	31:56		36
39.	32:39		37
40.	32:39		1
41.	32:44		80
42.	35:09		78
43.	35:12		45
44.	35:48		83
45.	35:50		82
46.	35:50		81
47.	39:04		57
48.	39:05		68
